"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node4",,,,"User:","db"
"Cmdline:","dstat -lcmdrsyTt --full --output results/cdb_1.stat",,,,"Date:","31 Jan 2019 14:36:39 EST"

"load avg",,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"cpu4 usage",,,,,,"cpu5 usage",,,,,,"cpu6 usage",,,,,,"cpu7 usage",,,,,,"cpu8 usage",,,,,,"cpu9 usage",,,,,,"cpu10 usage",,,,,,"cpu11 usage",,,,,,"cpu12 usage",,,,,,"cpu13 usage",,,,,,"cpu14 usage",,,,,,"cpu15 usage",,,,,,"memory usage",,,,"dsk/sda",,"dsk/sdb",,"io/sda",,"io/sdb",,"swap",,"system",,"epoch","system"
"1m","5m","15m","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","read","writ","read","writ","read","writ","used","free","int","csw","epoch","time"
2.380,2.720,1.740,0.709,0.176,98.662,0.428,0.0,0.025,0.553,0.156,98.849,0.425,0.0,0.017,0.534,0.150,98.907,0.399,0.0,0.011,0.532,0.147,98.928,0.387,0.0,0.007,0.761,0.160,98.730,0.341,0.0,0.007,0.507,0.150,99.012,0.326,0.0,0.005,0.465,0.140,99.136,0.254,0.0,0.004,0.455,0.141,99.156,0.244,0.0,0.004,0.255,0.072,99.555,0.115,0.0,0.003,0.251,0.071,99.585,0.090,0.0,0.003,0.282,0.087,99.339,0.290,0.0,0.003,0.259,0.072,99.551,0.116,0.0,0.002,0.252,0.073,99.558,0.115,0.0,0.003,0.250,0.075,99.557,0.115,0.0,0.002,0.253,0.078,99.569,0.097,0.0,0.002,0.312,0.109,99.260,0.316,0.0,0.003,19252101120.0,607924224.0,21805387776.0,516476928.0,37581.294,133108.004,362309.118,121595.588,0.691,2.110,3.610,0.799,1185271808.0,41752862720.0,1119.579,1733.534,1548963399.913,31-01 14:36:39
2.270,2.690,1.730,3.0,2.0,94.0,0.0,0.0,1.0,4.902,0.980,93.137,0.0,0.0,0.980,1.0,1.0,98.0,0.0,0.0,0.0,2.0,0.0,98.0,0.0,0.0,0.0,5.882,1.961,56.863,35.294,0.0,0.0,3.030,1.010,89.899,6.061,0.0,0.0,3.0,2.0,90.0,5.0,0.0,0.0,2.020,1.010,91.919,5.051,0.0,0.0,4.950,0.990,94.059,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.970,1.980,95.050,0.0,0.0,0.0,4.950,0.0,95.050,0.0,0.0,0.0,0.0,1.020,98.980,0.0,0.0,0.0,1.010,2.020,96.970,0.0,0.0,0.0,2.0,0.0,78.0,20.0,0.0,0.0,19270529024.0,607924224.0,21805531136.0,497905664.0,0.0,765952.0,0.0,0.0,0.0,79.0,0.0,0.0,1185271808.0,41752862720.0,5656.0,12696.0,1548963400.914,31-01 14:36:40
2.270,2.690,1.730,1.020,0.0,98.980,0.0,0.0,0.0,3.0,0.0,97.0,0.0,0.0,0.0,2.0,1.0,97.0,0.0,0.0,0.0,1.0,1.0,97.0,0.0,0.0,1.0,4.082,1.020,88.776,6.122,0.0,0.0,2.041,0.0,89.796,8.163,0.0,0.0,3.0,1.0,48.0,48.0,0.0,0.0,1.010,1.010,93.939,4.040,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1.0,97.0,1.0,0.0,0.0,2.020,1.010,96.970,0.0,0.0,0.0,1.980,0.990,95.050,1.980,0.0,0.0,3.030,1.010,95.960,0.0,0.0,0.0,3.030,1.010,91.919,4.040,0.0,0.0,19252101120.0,607924224.0,21805555712.0,516308992.0,0.0,458752.0,0.0,0.0,0.0,66.0,0.0,0.0,1185271808.0,41752862720.0,5341.0,9863.0,1548963401.914,31-01 14:36:41
2.270,2.690,1.730,0.0,1.010,98.990,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3.960,0.990,44.554,50.495,0.0,0.0,6.863,2.941,79.412,10.784,0.0,0.0,4.0,0.0,93.0,3.0,0.0,0.0,5.051,0.0,94.949,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,96.939,3.061,0.0,0.0,0.0,0.0,98.0,2.0,0.0,0.0,3.960,0.990,92.079,2.970,0.0,0.0,1.980,0.990,89.109,7.921,0.0,0.0,19251908608.0,607924224.0,21805748224.0,516308992.0,0.0,593920.0,0.0,0.0,0.0,64.0,0.0,0.0,1185271808.0,41752862720.0,3515.0,6824.0,1548963402.914,31-01 14:36:42
2.270,2.690,1.730,1.020,0.0,98.980,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,1.980,0.0,98.020,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,5.0,1.0,32.0,62.0,0.0,0.0,3.960,0.990,94.059,0.990,0.0,0.0,2.020,0.0,97.980,0.0,0.0,0.0,2.0,0.0,96.0,2.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,0.0,0.0,99.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,98.969,1.031,0.0,0.0,3.061,1.020,91.837,4.082,0.0,0.0,19252400128.0,607924224.0,21805768704.0,515796992.0,0.0,430080.0,0.0,0.0,0.0,60.0,0.0,0.0,1185271808.0,41752862720.0,3562.0,6642.0,1548963403.914,31-01 14:36:43
2.270,2.690,1.730,0.0,1.010,92.929,6.061,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,98.990,1.010,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,4.040,1.010,73.737,21.212,0.0,0.0,4.0,1.0,92.0,3.0,0.0,0.0,2.020,0.0,61.616,36.364,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,98.0,2.0,0.0,0.0,3.0,0.0,97.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,1.980,0.0,97.030,0.990,0.0,0.0,4.0,1.0,94.0,1.0,0.0,0.0,19252117504.0,607924224.0,21805797376.0,516050944.0,0.0,405504.0,0.0,0.0,0.0,60.0,0.0,0.0,1185271808.0,41752862720.0,3736.0,6807.0,1548963404.914,31-01 14:36:44
2.250,2.680,1.730,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,3.0,2.0,47.0,48.0,0.0,0.0,2.020,0.0,92.929,5.051,0.0,0.0,1.980,0.990,93.069,3.960,0.0,0.0,3.0,1.0,94.0,2.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,3.030,0.0,96.970,0.0,0.0,0.0,2.970,0.990,96.040,0.0,0.0,0.0,4.0,1.0,94.0,1.0,0.0,0.0,3.0,0.0,86.0,11.0,0.0,0.0,19252125696.0,607924224.0,21805821952.0,516018176.0,0.0,425984.0,0.0,0.0,0.0,59.0,0.0,0.0,1185271808.0,41752862720.0,3443.0,6492.0,1548963405.914,31-01 14:36:45
2.250,2.680,1.730,1.0,1.0,96.0,2.0,0.0,0.0,1.0,1.0,90.0,8.0,0.0,0.0,3.0,1.0,96.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,18.182,0.0,54.545,27.273,0.0,0.0,2.970,0.990,91.089,4.950,0.0,0.0,3.0,1.0,92.0,4.0,0.0,0.0,2.0,1.0,97.0,0.0,0.0,0.0,0.990,0.0,97.030,1.980,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,96.970,3.030,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.020,0.0,97.980,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,61.224,38.776,0.0,0.0,19252002816.0,607924224.0,21805850624.0,516112384.0,0.0,454656.0,0.0,0.0,0.0,66.0,0.0,0.0,1185271808.0,41752862720.0,4019.0,6791.0,1548963406.914,31-01 14:36:46
2.250,2.680,1.730,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,77.228,4.950,8.911,8.911,0.0,0.0,3.061,0.0,86.735,10.204,0.0,0.0,2.970,0.990,74.257,20.792,0.0,0.990,1.0,1.0,96.0,1.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,2.970,0.990,94.059,1.980,0.0,0.0,1.980,0.0,94.059,3.960,0.0,0.0,1.0,0.0,67.0,32.0,0.0,0.0,19253706752.0,607924224.0,21805883392.0,514375680.0,0.0,495616.0,0.0,0.0,0.0,72.0,0.0,0.0,1185271808.0,41752862720.0,3929.0,6833.0,1548963407.914,31-01 14:36:47
2.250,2.680,1.730,0.0,0.0,100.0,0.0,0.0,0.0,1.980,0.0,98.020,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,2.0,1.0,70.0,27.0,0.0,0.0,3.0,0.0,86.0,11.0,0.0,0.0,4.0,1.0,74.0,21.0,0.0,0.0,2.941,0.980,94.118,1.961,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3.0,1.0,96.0,0.0,0.0,0.0,1.0,0.0,95.0,4.0,0.0,0.0,1.020,0.0,98.980,0.0,0.0,0.0,4.0,2.0,80.0,14.0,0.0,0.0,19253661696.0,607924224.0,21805961216.0,514342912.0,0.0,663552.0,0.0,0.0,0.0,82.0,0.0,0.0,1185271808.0,41752862720.0,4058.0,7045.0,1548963408.914,31-01 14:36:48
